LocName,LocatieLocalitate,LocatieDescriere
92. Cariera de marmură de la Ruşchiţa Montană,Ruşchiţa CS,Cea mai mare carieră de marmură din România. De aici a fost folosită marmura pentru Casa Poporului. Cum mergeţi din Caransebeş spre Haţeg din Voislova faceţi stânga şi treceţi prin Rusca Montană apoi prin Ruşchiţa şi la puţin timp după este cariera.
93. Casa cu farfurii din Sinaia,Sinaia PH,"""Casa cu farfurii"" este situată chiar peste drum de Mănăstirea Sinaia și reprezintă o 
locuinţă denumită astfel datorită brâului decorativ din vase  tradiționale din ceramică colorate plasat imediat sub streașină."
94. Casa de lemn Kazar,Vadu Izei MM,Este o casă tradițională din sec. XVIII donată de graficianul Vasile Kazar împreună cu colecția etnografică. Este construită din bârne rotunde de stejar. Este situată în județul Maramureș comuna Vadu Izei la o distanță de 6 km de municipiul Sighetu Marmației pe D.N. 18
95. Casa Fefeleaga,Bucium AB,"Casele din Bucium-Şasa sunt parcă prea mici pentru un sat înconjurat de mine de aur. Dintre cele vechi doar casa parohială cea în care a locuit și Ion Agârbiceanu cât timp a fost preot e ceva mai mare. Pe plăcuța memorială stă scris: ""... aici a locuit între anii 1906-1910 scriitorul Ion Agârbiceanu (1882-1963) aici a scris romanul Arhanghgelii și nuvelele Fefeleaga și Melentea"".
Casa Fefelegii eroina din nuvela cu același nume a lui Agârbiceanu se află pe poteca ce urcă spre Detunate. Personajul literar Fefeleaga portretizat cu de-amănuntul în tulburătoarea nuvelă din 1908 a fost creat după chipul și asemănarea Sofiei Danciu care a trăit în satul Bucium-Șasa între anii 1869-1951. Casa memorială este acum un complex muzeal fiind reconstituit în cele mai mici detalii după descrierile din nuvelă și după cele ale localnicilor care o  cunoscuseră pe Fefeleaga.
Comuna Bucium se află pe DN 74 ce leagă Alba-Iulia de Abrud (70km). Cu trei kilometri înainte de Abrud venind dinspre Alba-Iulia se face o intersecție la dreapta marcată cu indicatorul ""Bucium Cerbu/ Mogos”. Cãi de acces: * Oradea-Stei-Cîmpeni-Abrud-Bucium Sat DN 76 - DN 74; * Cluj-Napoca-Turda-Campeni-Abrud-Bucium Sat DN 75 - DN 74; * Alba-Iulia-Bucium Sat DN 74. Din Abrud este zilnic autobuz către Bucium."
96. Casa memorial Crișan,Crişan HD,Urmând drumul dinspre Mănăstirea Crişan spre centrul satului cu acelaşi nume pe cursul Pârâului Goldeştilor se ajunge la o casă ce a fost ridicată în memoria lui Crişan – unul din cei trie conducători ai răscoalei de la 1784. Casa în care s-a născut în 1732 Giurgiu Marcu Gheorghe Crişan sau Crişan (cu aceste trei nume este cunoscut în literatura de specialitate) a dăinuit se pare până în 1935. Pe locul vechii case a fost ridicată în 1979 o altă construcţie ce a primit destinaţie de casă memorială şi are menirea de a păstra vie memoria celor ce au condus răscoala iobagilor de la 1748. Satul a primit numele marelui conducător în vremuri numindu-se Vaca.
"97. Casa Memorială ""Mihail Sadoveanu""",Fălticeni SV,La nr. 68 pe strada Ion Creangă din Fălticeni județul Suceava se află casa memorială a lui Mihail Sadoveanu. „Casa din deal” (cum este numită) a fost contruită dupa planurile proprii ale scriitorului. A locuit aici între anii 1909 și 1918 iar „Povestiri de seară” „Genoveva din Brabant” „Apa morților” „Un instigator” „Bordeienii” „Priveliști dobrogene” „Neamul șoimăreștilor” „44 de zile în Bulgaria” și „File însângerate” au fost scrise pe aceste meleaguri. Mihail Sadoveanu scria despre Fălticeni că „Ajuns acasă nu mă găndesc decât să mă reculeg și să mă odihnesc”. În contextul dedicației iscălite în Cartea de aur a Liceului „Nicu Gane” aceste cuvinte au o însemnătate deosebită.
"98. Casa memorială ""Moş Ion Roată """,Gura Văii VN,Casa memorială a fost inaugurată la 24 ianuarie 1959 cu prilejul Centenarului Unirii Principatelor Române în casa în care a locuit Ion Roată (1806 - 1882) din cătunul Gura Văii şi strămutată la şoseaua ce leagă oraşul Panciu de Soveja. Restaurată casa cuprinde obiecte specifice ambientului familial şi social în care a trăit Ion Roată şi mărturii documentare privind activitatea sa în Divanul ad-hoc al Moldovei (1857) ca deputat al ţărănimii putnene. Casa este o locuinţă ţărănească monocelulară specifică Ţării Româneşti armonioasă şi expresivă.
99. Casa memorială Ilie Lazăr,Giulești MM,Este situată în comuna Giulești județul Maramureș la 14 km de municipiul Sighetu Marmației pe D. N. 18. A fost edificată în anul 1826. Monumentul se înscrie în specificul arhitecturii tradiționale maramureșene.
100. Casa memorială Ion Șugariu,Băița MM,Casa în care s-a născut Ion Șugariu(1914-1945) muzeul adăpostește mobilier fotografii manuscrise și obiecte personale care au aparținut poetului. Se află in județul Maramureș sat Băița aparținător de orașul Tăuți Măgherăuși aflat la o distanță de 9 km de municipiul Baia Mare.
101. Casa memorială Stan Ioan Pătraș,Săpânța MM,Este situată în județul Maramureș com. Săpânța la 19 km de municipiul Sighetu Marmației pe Drumul Național 19 la aproximativ 200 m de Cimitirul Vesel din satul Săpânța. Aici s-a născut și a trăit Stan Ioan Pătraș (1908-1977) meșterul cioplitor al celebrelor cruci din Cimitirul Vesel.
102. Casa muzeu Nicolae Popa (Necolai Popa),Târpeşti NT,"Nicolae Popa (1919-2010) (Neculai Popa Nicola Popa) originar din satul Târpești comuna Petricani județul Neamț a fost un mare culegător și creator de artă naivă populară autentică. Măștile sale l-au făcut cunoscut în țară și peste hotare. Primul muzeu - a funcţionat din 1964 până în 1974 în vechea clădire de serviciu a învăţătorului satului pe care Necolai Popa a reparat-o si a reamenajat-o pentru a putea adăposti colecţia sa de obiecte.
Fiindcă sunteți la 12 kilometri de Târgu Neamț dacă ajungeți aici nu ratați alte obiective turistice apropiate: Cetatea Neamțului  Muzeul ""Mihail Sadoveanu"" sau Humuleștii lui Ion Creangă. Unul dintre site-urile destinate muzeului ne anunță că este cel mai mare muzeu particular din România. Coordonatele sunt orientative nu aveți cum să nu găsiți singurul muzeu din sat :)
Date de contact: 0233.785 112 0233.785 111 popamuseum@gmail.com  http://npopa.uv.ro/.
Idee primită de la Mihai - anel...i@yahoo.com"
"103. Cascada ""La Chişătoare""",Moeciu de Sus BV,"Cascada ""La Chişătoare"" este un obiectiv turistic aflat în apropiere de Cheile Moeciului şi Cheile Grădiştei puţin mai sus de acestea. Urmând Părăul Turcu până la locul numit de localnici ""La Chişătoare"" poate fi descoperită această frumoasă cascadă. Două fire de apă tâşnesc din peretele stâncos şi se varsă în cascade de 15-20 de metri. Pe timp de iarnă gerul îngheaţă cascadele formând coloane de gheaţă în culori extrem de interesante. Datorită fenomenului carstic destul de rar întâlnit şi unic în zona aceasta locul a fost declarat rezervaţie naturală biogeologică. Fenomenul carstic de suprafaţă este favorizat de depunerile de carbonat de calciu sub formă de travertin şi constă în mai multe firişoare de ape ce cad mai întăi pe o suprafaţă acoperită de vegetaţie iar apoi după ce vegetaţia se termină brusc ele îşi continuă drumul prelingându-se pe peretele stâncos sau căzând cu putere de pe surplombă. Apa de ploaie după ce străbate solul devine acidă şi poate dizolva calcarele. În urma acestor acţiuni nu rezultă întotdeauna fenomenele carstice clasice (peşteri chei etc.) ci şi depuneri de carbonat de calciu sub forma de travertin ""La Chişătoare"" acestea fiind favorizate şi de pulverizarea apei (provocată de cascadă)."
104. Cascada Apa Spânzurată,Ciungeţ VL,Valea Latoriţei m-tii Căpăţinii sat Ciungeţul - se ajunge prin Mălaia. Pe valea Oltului după mănăstirea Cozia spre Sibiu la câtiva km in Brezoi se face o stradă la stânga ce duce printre altele către Voineasa. După un drum pitoresc pe lângă satele Brezoi şi Mălaia apare o intersecţie cu indicator spre Voineasa si Ciungeţ. O luaţi spre Ciungeţ iar la ieşirea din sat nu mai este niciun indicator. Trebuie să treceţi pe lânga o termocentrală apoi drumul (destul de prost) continuă prin munţi vreo 17 km. Cascada se afla pe partea dreaptă a drumului; nu are un debit spectaculos dar este foarte frumoasă. Recomandăm vizitarea acestui obiectiv in perioada Mai - Octombrie intrucât in anotimpul rece apa ingheţată  nu mai oferă imaginea de cascadă.
105. Cascada Bigăr,Oraviţa CS,Locul e aşezat undeva în Banat pe valea Minişului la gura Poneasca acolo unde şoseaua se întâlneşte cu imaginara Paralelă 45 pe la jumătatea distanţei dintre Bozovici şi Anina. O sută de metri mai sus izvorăşte râul acesta mititel. Aici este Izbucul Bigăr şi peştera cu acelaşi nume toate în munţii Aninei. Rezervația Bigăr este încadrată administrativ în Parcul Național Cheile Nerei-Beușnița.
106. Cascada Bistriței,Cîmpuşel GJ,Munţii Vâlcan - Traseu: Casa de vânătoare Câmpuşel - Muntele Coada Oslei - şaua Groapa Nedeuţii - La Bârloagă - valea Bistriţei - Peştişani. Marcaj: triunghi roşu. Timp de mers: 11-12 ore traseu accesibil numai vara. Cele trei artere modernizate: Târgu Jiu - Tismana - Baia de Aramă (DN 67 D) Târgu Jiu - Petroşani (DN 66) şi Petroşani - Lupeni - Câmpu lui Neag (DN 66 A) înconjoară masivul pe trei laturi uşurând accesul în Munţii Vâlcan.
107. Cascada Bolovăniș,Tarcău NT,Valea Bolovănișului își desfășoară în cursul său mijlociu un sector de chei săpate în gresie masivă de Tarcău prin care apele sale curg zgomotos peste o serie de praguri și repezișuri. În cadrul acestui sector chiar la începutul său (venind dinspre aval) se desfășoară una dintre cele mai spectaculoase cascade din acești munţi: cascada Bolovăniș
108. Cascada Bradul,Băile Siriu BZ,Cascada Bradul se află în Munţii Buzăului în Masivul Siriu pe Valea Bradului
109. Cascada Cailor (Rodnei) – cea mai mare cădere de apă din România,Borşa MM,Cascada Cailor este una dintre cele mai frumoase cascade din România formată pe versantul nordic al Munţilor Rodnei in apropierea statiunii turistice Borşa. Accesul spre cascada este facil fie pe jos de la Borşa pe o poteca fie cu telescaunul din staţiunea Borşa. De la capătul superior al telescaunului se poate ajunge la Cascada Cailor în circa 15 minute. Telescaunul porneşte doar dacă există un grup de minim 10-15 persoane. Ultima cursă a telescaunului este la ora 17.00 dacă nu ajungeţi până la această oră la capătul superior al telescaunului riscaţi să rămâneţi pe munte sau veţi fi nevoiţi să coborâţi pe jos la baza muntelui.
110. Cascada Caraiman,Buşteni PH,"Cascada Caraiman este o cădere de apă spectaculoasă care se găsește pe versantul opus al Văii Jepilor Munții Bucegi. De la baza treptei stâncoase a cascadei se urcă pe un mic horn si de la Cabana Caraiman se pot face diferite excursii pâna la cabanele Babele Piatra Arsă Omul pâna la Crucea Eroilor și spre cantonul Jepi.
"
111. Cascada Caşoca sau Cascada Pruncea,Siriu BZ,Cascada Martinu se află pe Valea Caşoca în Munţii Buzăului. Înainte de a urca spre barajul de la Siriu pe partea dreaptă a şoselei se află un drum forestier. La doar câţiva kilometri distanţă pe acest drum în mijlocul pădurii poate fi descoperită spectaculoasa cascadă Pruncea sau Caşoca. Pentru a o admira trebuie să cobori sub nivelul drumului cu câţiva metri. De la cascada Martinu valea tăiată de roci mai dure se îngustează treptat căpătând aspect de defileu. În amonte de confleunţa cu pârâul Pruncea un prag de gresie de Tarcău face ca apele Caşocăi să cadă pe mai mult de 6 metri creând una din cele mai frumoase cascade din Munţii Buzăului.
112. Cascada Ciucaş,Moldoveneşti CJ,Este parte a Defileului Hasdanelor în zona Cheilor Turzii la aprox 55 kilometri de Orasul Cluj Napoca. Este accesibilă daca se alege drumul prin Turda apoi traseul Mihai Viteazu Corneşti la sud-vest de Turda. De acolo se va ajunge la podul Moldoveneşti ce trece peste Arieş. Drumul va tine dreapta coborând pe langă un râu. La 1 km apare un drum pietruit. De acolo se va ajunge la un pod cu aspect puţin cam nesigur. Astfel dacă veţi dispune de curajul necesar pentru a-l trece cu maşina se va ajunge la o pădure cu pini ce va desemna practic sosirea la Cascada Ciucaş.
113. Cascada Clocota,Geoagiu Băi HD,Accesul se poate face pe doua cai - pe poteca ce coboara din drumul ce duce spre orasul Geoagiu sau prin statiune pe o straduta ingusta ce se desprinde de drumul dintre Hotelul Diana si centrul civic al statiunii
114. Cascada Diavolului,Bistriţa Bârgăului BN,"Cascada Diavolului se află chiar la intrarea în Cheile Bistriţei în Munţii Bârgăului. Cheile Bistriţei Ardelene se întind cu mici întreruperi de la ieşirea din comuna Bistriţa Bîrgăului trecând pe la confluenţa cu pârâul Repedele şi apoi la barajul Colibiţa. Ele oferă un peisaj încântător de-a lungul celor 65 km străbătuţi pe Valea Bistriţei începând de la 1.562 m altitudine (în Munţii Călimani). Apele cristaline se prăvălesc printre brazii falnici sculptând cele mai înguste chei din România pe un culoar lung de 600 de metri şi cu pereţi abrupţi străpunşi de numeroase guri de peşteri. Chiar la intrarea în chei apele se revarsă prin ""Cascada Diavolului”. Tot aici poate fi descoperită şi Peştera Bistriţei."
115. Cascada Evantai,Pietroasa BH,Cascadă în Munţii Apuseni pe Cheile Galbenei. Cascada Bulbuci se află pe valea cu acelaşi nume afluent de stânga al Văii Boga. Valea Bulbuci îşi are izvorul într-un izbuc şi este presărată cu numeroase repezişuri şi cascade mărunte. Cea mai mare Cascada Bulbuci are o înălţime de 40 m în trei etaje. Ultima treaptă este cea mai frumoasă şi cea mai vizitată fiindcă se poate intra în spatele perdelei de apă. Această cascadă se aruncă într-o cădere de la cca. 20 m înălţime. La celelate două trepte este mai greu de ajuns. Caderea de apa este la iesirea paraului Galbena din circuitul sau subteran. Aici se varsa apele care strabat pe rand Pestera Caput Cetatile Ponorului ies prin Izbucul Galbena si strabat Cheile Galbenei. La ape mari cascada are două braţe. Acolo unde apa scapă din strânsoarea stâncilor şi se aruncă în gol este o peşteră.În peştera de 50 m lungime se poate vedea cursului subteran. Poteca săpată în stâncă de Czárán Gyula oferă o privelişte şi un sentiment de excepţie acelora care se aventurează în această peşteră.
116. Cascada Fieraru,Brăduţ CV,Pornind din satul Brăduţ cu puţin ajutor (de la cetăţeni) se poate ajunge în Cheile Vîrghişului sau în apropiere la diferite izvoare de apă minerală. Pornind de la Brăduţ mai departe după numai cîteva sute de metri se ajunge în satul Filia unde există un vechi furnal (monument istoric) si fundaţia octogonală a clopotniţei bisericii în stil romanic ridicată probabil la începutul secolului XIII. Spre nord se poate vedea la gura pîrîului Coşag (pe valea căruia apar pietre de opal) un izvor de apă minerală iar mai departe la gura pîrîului Fieraru în directia opusa pe un pîrîu mai mic (Covasna) o cascada frumoasa de cea 4 m înaltime. La gura pîrîului Batatura Cailor vom da de un mic refugiu.
117. Cascada Horoabei,Buşteni PH,"Zona Munţilor Bucegi. În Munţii Bucegi există numeroase cascade ce amplifică spectaculozitatea locurilor. Cea mai accesibilă este Cascada Urlătoarea situată în apropiere de Buşteni însă alte cascade par a fi mai spectaculoase şi mai frumoase: Cascada Caraiman (în apropierea traseului Buşteni – Jepii Mici – Cabana Caraiman) Cascada Moara Dracului (pe traseul Bran – Valea Gaura – Cabana Omu) Cascada Obârşiei (pe Pârâul Obârşia Ialomiţei sub Muntele Obârşia) Cascada Vânturişului (pe Izvorul Dorului lângă Vârful cu Dor) şi Cascada Horoabei (în apropierea Cabanei Padina pe Valea Horoabei). Traseul spre Valea Horoabei poate porni de la Cabana Padina. Valea Horoabei este de o frumuseţe sălbatică nemaiîntâlnită în Bucegi peisajul canionul (Izbucul Horoaba Ponorul Horoabei şi Cheile Horoabei) şi cascadele fiind tipice pentru Munţii Apuseni. Traseul deşi este unul dificil este amenajat pe alocuri cu cablu ajutător şi este marcat cu marcaj neconvenţional (cruce verde). Ponorul Horoabei este greu accesibil (dar nu imposibil) în perioadele cu precipitatii abundente datorită nivelului ridicat al apei. După ce se ajunge la Cheile Horoabei cascada cu acelaşi nume se arată impresionantă. În aceste chei s-au descoperit în orizontul de calcare fin şi roz jurasice o bogată faună de amoniţi şi branhiopode. Acest loc face parte din ce mai mare zonă declarată rezervaţie din Munţii Bucegi şi anume ""Rezervaţia Peştera – Babele""."
118. Cascada Huluzu,Ciungetu VL,Cascada Huluzu se află în Munţii Căpăţânii pe apele Pârâului Huluzu. Ea poate fi admirată pe parcursul traseului turistic: Ciungetu – Prejbeni – Lacul Petrimanu – Curmătura Olteţului – Şaua Negoveanu – Munţii Târnovu – I. F. Vătăjelu (cabană forestieră) – Ciungetu. Dacă mergem pe firul Latoriţei din dreptul muntelui Huluzu (sau Holuzu) cheile sale se strâmtează atît de tare încît apele nu contenesc sărind trepte înspumate. În aceste locuri natura exaltă de frumuseţe. Defileul se strînge din ce în ce mai mult iar pe pereţii de pe malul nordic al Latoriţei se zăresc troiţe frumos sculptate. Apoi se trece de gura Pârâului Huluzu (aici se află cascada Huluzu) şi după alte şerpuiri prin valea îngustă apare o nouă privelişte pe malul opus vine să se spargă în curcubeu cascada Înşirata. Frumuseţea apelor ce se rostogolesc la vale este extraordinară. La doar o jumătate de oră se află Barajul de la Petrimanu. Traseul este marcat doar pe o anumită porţiune cu bandă roşie şi cu punct albastru este recomandat să fie făcut numai vara şi durează aproximativ 14-16 ore.
119. Cascada Iadolina,Bulz BH,Cascadă în Apuseni Stâna de Vale. Cascada Iadolina este considerată ca fiind cea mai frumoasă cascadă din Valea Iadului. Este situată sub nivelul şoselei pe partea stângă a drumului dinpre Satul de vacanţă Coada Lacului Leşu (dreapta dacă se vine dinspre Stâna de Vale). Partea accesibilă turiştilor oferă o privelişte deosebită a căderii de apă printre stâncile imense parcă rupte din munte. Accesul la Cascada Iadolina se face pe drumul forestier Iadu şi pe o potecă având drept sprijin o coardă metalică prinsă de peretele de piatră. Frumoasa cădere de apă în mai multe trepte atrage anual mii de turişti. Valea Iadului mai realizează cascade şi în continuare sub Cascada Iadolina însă acestea se pot vedea în condiţii de siguranţă doar de sus.
120. Cascada Înşirata,Ciungetu VL,"Cascada Înşirta se află în Munţii Căpăţânii mai exact în Munţii Latoriţa pe valea Răului cu acelaşi nume (Râul/ Pârâul Înşirata). În aval de Lacul Petrimanu Latoriţa primeşte apele unor pâraie precum: Turcinu Mare (la confluenţa căruia se află cascada ""Apa spînzurată"") Înşirata (avînd de asemenea un larg bazin de recepţie) Pârâul Fântânii şi altele mai mici ale căror firişoare de apă se strecoară prin hornurile din abruptul Repezi – Părăginosu şi cad apoi în cascade la confluenţa cu Latoriţa. Pe apele Pârâului Înşirata poate fi descoperită frumoasa cascadă Înşirata. Apele se sparg într-un curcubeu extraordinar creând impresia că aceste ape nu au mai lăsat loc de altceva mai frumos pentru niciun alt loc din lume. Cascada poate fi admirată pe parcursul traseului turistic: Ciungetu – Prejbeni – Lacul Petrimanu – Curmătura Olteţului – Şaua Negoveanu – Munţii Târnovu – I. F. Vătăjelu – Ciungetu. Acest traseu este marcat doar pe o anumită porţiune cu bandă roşie şi cu punct albastru având şi locuri nemarcate. Este recomandat să fie făcut numai vara şi durează aproximativ 14-16 ore."
121. Cascada Izvorul Frumos,Băile Olăneşti VL,Cascada Izvorul Frumos este amplasată lângă un izbuc ce străbate carstul Vioreanu în Munţii Căpăţânii. Este cunoscut şi ca Izvorul Schitului Pahomie. Urcând pe firul apei se poate observa că acesta curge printr-o galerie pe care mai vine şi un curent rece. Izbucul acesta nu este un izbuc în adevăratul sens al noţiunii dar cu siguranţă este vorba de un fel de aven care colectează apa de pe platoul Builei şi izbucneşte la baza stratului de calcar. Sus pe platoul carstic al muntelui pot fi descoperite doline. Cascada Izvorul Frumos este o cascada cu apă de munte rece ca gheaţa. Este inclusă în Parcul Naţional Buila – Vânturiţa.
122. Cascada Izvorul Runcului,Săpânța MM,"Cascada Runcu (Izvorul Runcului) se află în bazinul hidrografic al râului Săpânța pe pârâul Runc. S-a format tot în sectorul de defileu unde apa are o cădere printr-o strungă de aproximativ 20m. Cascada poate fi admirată atât de sus de unde poți trăi senzații tari cât și de la bază unde aerul este puternic îmbibat cu vapori de apă rezultați în urma căderii tumultoase. Accesul este posibil atât dinspre satul Săpânța cu mașina doar până la un anumit loc cât și dinspre Cheile Tătarului sau Cabana Agris.
"
123. Cascada La Şipot,Basca Chiojdului BZ,Basca Chiojdului este ultimul sat din comuna Chiojdu judeţul Buzău la limita cu judeţele Braşov Covasna şi Prahova. Este puţin la sud de lacul Siriu.
124. Cascada Lolaia,Cârnic HD,"Zona Munţílor Retezat. Cascada Lolaia se află în Munţii Retezat acest masiv muntos având numeroase cascade deosebit de frumoase şi de spectaculoase. Ea s-a format pe râul Lolaia un afluent al Jiului de Est (la rândul său un afluent al Jiului) şi dă un farmec aparte peisajul sălbatic ce o înconjoară. Cascada este compusă din două braţe despărţite de un perete stâncos şi se află la o altitudine de 1050 de metri în partea de nord a Parcului Naţional Retezat. Este accesibilă pentru vizitare tot timpul anului prin localitatea Cârnic. Până la Cârnic se poate ajunge cu maşina sau cu microbuzul iar de aici traseul până la cascadă de face pe jos fiind unul de aproximativ 20 de minute. Administraţia Parcului Naţional Retezat a realizat un proiect de amenajare reparare şi punere în valoare a traseului până la cascadă dar şi a obiectivului în sine printr-un program numit ""Belvedere pentru cascada Lolaia"". Pe aici trece traseul montan ce străbate întregul parc de la sud la nord durata lui fiind de 11 ore cu o dificultate ceva mai ridicată."
"125. Cascada Lotrişor ",Brezoi VL,Pe Valea Oltului mai exact în Munţii Căpăţânii pe Valea Lotrişorului Este foarte aproape de staţiunile Călimăneşti şi Căciulata în vecinătatea localităţii Brezoi. Cascada cu acelaşi nume îşi descoperă frumuseţea chiar şi în anotimpurile călduroase. Se află la o altitudine cuprinsă între 485 şi 515 metri şi este protejată de Parcul Naţional Cozia. Accesul se face de pe drumul european Vâlcea – Sibiu; se face stânga pe sensul acesta de mers şi pe drumul forestier în 20 de minute se ajunge pe jos.
126. Cascada Martinu,Siriu BZ,Cascada Martinu ca şi Cascada Pruncea se află pe Valea Caşoca în judeţul Buzău. Dinspre satul Caşoca comuna Siriu desfăşurat la gura de vărsare a Râului Caşoca obiectivele principale sunt Lacul Caşoca Cascada Martinu şi Cascada Pruncea. Sunt usor accesibile o potecă lată aflată pe marginea vechiului terasament de cale ferată forestieră ducând exact până la ele. Lacul Caşoca s-a format în 1969 în urma barării văii de către două alunecări şi se află la doar 4 kilometri de la vărsarea râului Caşoca în Buzău. Cascada Martinu este o cădere de apă de circa 2-25 metri are o marmită extraordinar de frumoasă la bază şi se situează la aproximativ 2 kilometri de de lac. De aici în colo valea tăiată de roci mai dure se îngustează treptat căpătând aspect de defileu. În amonte de confleunţa cu pârâul Pruncea un prag de gresie de Tarcău face ca apele Caşocăi să cadă pe mai mult de 6 metri creând una din cele mai frumoase cascade din Munţii Buzăului.
127. Cascada Moara Dracului,Stâna de Vale BH,Cascadă în Apuseni Stâna de Vale. Cascada Moara Dracului este situată pe râul cu același nume de pe versantul vestic al Munților Vlădeasa în apropiere de Vârful Buteasa dar și în apropiere de Lacul Floroiu (Lacul Drăgan). Are o înălțime de 20-25 de metri căderea de apă în două trepte şi se remarcă mai ale prin frumusețea ei. Se poate ajunge la ea de pe drumul care leagă Stâna de Vale și Valea Drăganului din dreptul cantonului Ciripa.
128. Cascada Moloh,Gilău CJ,Cascada Moloh este situată în zona Cheilor Someşului Cald pe valea Moloh o vale sălbatică cu versanţi stâncoşi. Cascada are o înălţime de 10m. Valea a fost botezată de Czaran Gyula după un zeu fenician care cerea sacrificii de copii. Probabil sălbăticia văii l-a determinat pe marele cunoscător al munţilor Apuseni să-i dea acest nume.
129. Cascada Obârşia,Buşteni PH,Zona Munţilor Bucegi. Parcul Naţional Bucegi. Cascada Obârşia este situată în valea cu acelaşi nume în apropierea Vârfului Omu. Valea Obârşia este o vale tipic glaciară cu 2 căldări (una inferioară şi una superioară) despărţite printr-un prag. Pe acest prag se formează Cascada Obărşia Ialomiţei. Această cascadă este locul de naştere al Ialomiţei. Cascada Obârşiei are o înălţime de aproape 100 de metri iar rupturile de pantă modul de colectarea al apei vâltoarea apelor de munte susurul minunat pe care aceasta îl crează în momentul în care se revarsă în lac ăi oferă o frumuseţe deosebită. La cascadă se poate ajunge pe un traseu marcat cu banda albastră plecând de la hotelul Peştera sau Cabana Omu.
130. Cascada Oselu,Boga BH,Este situata pe valea cu acelasi nume în imediata apropiere de confluenţa cu Valea Boga afluent al Văii Bulzului. Are o înălţime de circa 10 m. Este accesibila din Boga urmând drumul forestier (cam 2 km) ce se desprinde înainte de confluenţa cu Valea Rea drum ce însoteste Valea Boga până în apropiere de cascadă. Acolo e şi un mic baraj de retenţie.
131. Cascada Oşelu (Boga Apuseni),Boga BH,Cascada Oşelu se află pe valea Oşelu afluent de stânga a pârâului Boga. Valea Oşelu îşi are izvorul într-un izbuc situat la baza unei stânci din Piatra Ciungilor. Are un sector de chei cu multe repezişuri şi cascade mărunte. Cea mai mare cascadă se formeză în apropierea confluenţei cu pârâul Boga. Căderea aproape verticală are 5 trepte şi o înălţime de 10m. Apele ei ajung în acumularea de pe Boga care se află în faţa cascadei.
132. Cascada Piatra Mare (Tamina),Predeal PH,"Situată în munții Piatra Mare la o altitudine de 1100m cascada Tamina este înșiruirea a 5 cascade din care cea mai mare are înalțimea de 10m a fost formată prin adâncirea cu mai mult de 50m a unei linii vechi de drenaj instalată pe fisuri verticale în masa calcarelor posibil și prin prăbușirea unei peșteri. Traseul are o durată de 4 ore (marcaj albastru): traseul pornește de la poșta din Timșul de Sus pe drumul forestier de pe Valea Timișului. Pe dreapta se distinge poteca marcată cu bandă albastră care traversează apa și urcă pe culmea Băii Mici ce desparte Timișul Sec de Jos de Valea Carierei. 
De aici se zărește culmea calcaroasă a muntelui. Se merge pe marginea pârâului Pietrei Mici pentru a ajunge la cheile si cascada Taminei unde apele taie pereţii abrupţi și inalţi de peste 50 m ai albiei. 

"
133. Cascada Pişoaia,Nemesi AB,Cascadă în Apuseni în comuna Vidra sat Nemesti (Nemeşi?) în apropierea Dealului cu melci. Este o splendida cadere de apa situata in partea dreapta a soselei pe directia de mers spre Campeni la aproximativ 400 m de sosea. Cădere de 18 m pe peretele stâncos al Arieşului Mic. Zona este declarata rezervatie peisagistica si este protejata pe o suprafata de 2.5 ha.
134. Cascada Pruncea sau Casoca,Siriu BZ,Muntii Buzaului Cabana 14 scaune langa lacul Siriu 6 km din DN10 de la Pensiunea Elena drum forestier
135. Cascada Putnei (Săritoarea Putnei),Tulnici VN,Are circa 80 de metri lungime iar apa se strânge într-un lac cu adâncimea de aproximativ 12 metri. Cascada Putnei a fost declarată Monument al Naturii în anul 1973 şi în prezent Cascada Putnei este inclusă în Parcul Natural Putna Vrancea ca zonă de management durabil. Importanța Cascadei Putnei constă în caracterul peisagistic și hidromorfologic datorat nu numai cascadei actuale ci și a cascadei părăsite rămasă suspendată pe malul stâng deasupra Putnei la cca 250 m în aval de actuala cascadă ca urmare a proceselor tectonice când o porțiune din patul vechii albii s-a prăbușit iar vechiul curs a fost deviat pe albia actuală.
